municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Rio Grande,East,2024,46051.0,retention_bundle,-1.2648763050821725,0.7491426733540254,-1.5805156875625228,0.3156393824803503,145.3550920260261
Sabana Grande,West,2024,22407.0,retention_bundle,-0.9076751133918064,0.9409831707487197,-1.3041434464661499,0.3964683330743435,88.83665939196814
Salinas,South,2024,25079.0,retention_bundle,-1.3763781621517852,1.0428861418705322,-1.815781695718441,0.43940353356665574,110.19801218318159
San German,West,2024,31305.0,retention_bundle,-0.9549602644193469,1.0476770783395113,-1.3963823830731406,0.44142211865379366,138.1871942445701
San Juan,Metro,2024,336160.0,retention_bundle,-1.0987854109390953,0.9257859232648438,-1.4888506248455833,0.39006521390648796,1311.24322306805
San Lorenzo,East,2024,37431.0,retention_bundle,-0.649988951337571,0.9219930389717971,-1.0384560936100977,0.38846714227252677,145.40713602402948
San Sebastian,West,2024,39088.0,retention_bundle,-0.6474793803956305,0.8928020264291437,-1.0236473525625656,0.3761679721669351,147.03653696061158
Santa Isabel,South,2024,19903.0,retention_bundle,-1.0663961892473057,0.9596360650692751,-1.470723623470502,0.40432743422319617,80.47328923344274
Toa Alta,Metro,2024,66320.0,retention_bundle,-0.7584011654420292,0.8078206439129961,-1.09876358006459,0.3403624146225609,225.7283533776824
Toa Baja,Metro,2024,73039.0,retention_bundle,-1.5090765698943542,0.8947764232415292,-1.8860764228402098,0.3769998529458556,275.35692259312344
Trujillo Alto,Metro,2024,67088.0,retention_bundle,-0.8113303996843222,0.79609101219147,-1.1467507200370048,0.33542032035268265,225.02678451820773
Utuado,Central Mountains,2024,27621.0,retention_bundle,-1.2895711987709528,0.9145062494027962,-1.6748839010144003,0.3853127022434475,106.42722148666263
Vega Alta,North,2024,34921.0,retention_bundle,-0.8748847233847131,0.9691238659598785,-1.2832096920172082,0.4083249686324951,142.59116229615364
Vega Baja,North,2024,53892.0,retention_bundle,-0.7121816983845888,1.0203393694696286,-1.1420855070381195,0.42990380865353073,231.6837605595608
Vieques,East,2024,8078.0,retention_bundle,-0.9565995727790937,1.1943639904950052,-1.4598258951146998,0.5032263223356062,40.650622318270266
Villalba,South,2024,21556.0,retention_bundle,-1.3530623215862367,0.8621442729549521,-1.7163131356215915,0.36325081403535475,78.30234547346107
Yabucoa,East,2024,29400.0,retention_bundle,-1.7030392293130738,0.9332437415573176,-2.096246676660821,0.39320744734774715,115.60298952023766
Yauco,South,2024,32993.0,retention_bundle,-1.738812631247589,0.8539916217524783,-2.09862845501653,0.35981582376894106,118.71403473608672
Adjuntas,Central Mountains,2024,17960.0,recovery_rebound_bundle,0.26425656041030243,1.0873289546284348,-0.9024586516057509,1.1667152120160533,209.54205207808317
Aguada,West,2024,37758.0,recovery_rebound_bundle,-0.1303772237227221,0.9401375046506607,-1.1391544878557884,1.0087772641330663,380.89411939136323
Aguadilla,West,2024,54137.0,recovery_rebound_bundle,-0.3925032988424524,0.9166370366440647,-1.3760643177940752,0.9835610189516228,532.4704288298401
Aguas Buenas,Central Mountains,2024,23614.0,recovery_rebound_bundle,-0.7337287947400271,0.9327899249467339,-1.7346220298719508,1.0008932351319237,236.35092854405246
Aibonito,Central Mountains,2024,24636.0,recovery_rebound_bundle,0.2358543807224971,0.933335083555348,-0.7656238152337702,1.0014781959562673,246.72416835578602
Anasco,West,2024,25094.0,recovery_rebound_bundle,-0.5021208404523752,0.9087721558509864,-1.477242760984962,0.975121920532587,244.69709473844736
