municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Barranquitas,Central Mountains,2030,25525.905172828447,25908.695759612263,26348.122743272434,26756.38698318396,27131.629172939716,27539.813650224307,27754.347019152,hurricane_cat3,27126.519272996455,-370.1322898124963,-1.3644665800560365
Bayamón,Metro,2030,157864.1611946975,158742.03440516064,161676.53493957725,166390.60876320826,170970.20540833985,174370.38995072406,175680.24875111677,hurricane_cat3,168650.71142058505,-2260.1026573767886,-1.3401085820151046
Cabo Rojo,West,2030,42095.2563368153,42400.08640006736,42735.730443478606,43158.423493942726,43632.95505700981,43905.5894377355,44159.703592201025,hurricane_cat3,43755.86582754467,-597.4423336019463,-1.3653994094338124
Caguas,East,2030,107263.48488967809,108054.28326829924,109391.7944855614,110942.544559575,112061.83731857358,113210.244382202,113878.95710000447,hurricane_cat3,113126.81334654687,-2184.2687869718648,-1.9308143864007623
Camuy,North,2030,28782.889686524733,29039.2872814546,29620.436625595205,30187.589995641683,30780.265227270054,31290.043006853783,31550.407950550416,hurricane_cat3,30523.360541797476,-335.77054615579254,-1.1000444911562137
Canóvanas,East,2030,34951.105492834155,35321.538796218556,35983.04568859901,36590.50154531027,37165.536163748584,37844.799150750056,38102.470291307334,hurricane_cat3,37406.306091140366,-815.8045458300985,-2.180927846343322
Carolina,Metro,2030,133296.01552953754,134406.64242446196,135937.24603482505,137887.45775734872,140826.10549259686,142822.17903578965,144318.7945726627,hurricane_cat3,139877.07162691333,-1989.6138695646077,-1.4224017177535708
Cataño,Metro,2030,20090.931490903804,20197.463476697532,20391.649621115204,20595.863972732295,20805.078862274902,20952.035791987786,21117.20167040157,hurricane_cat3,20869.600394337598,-273.7364216053029,-1.311651475988845
Cayey,Central Mountains,2030,36643.20944943456,36926.380852221424,37219.93768653086,37669.20407272912,38017.581368286454,38375.3140585331,38665.46903294964,hurricane_cat3,38154.4958045137,-485.29173178458586,-1.2719123174133926
Ceiba,East,2030,9352.908594787881,9420.274775345071,9548.080428384452,9729.58917496097,9855.920966436961,10025.329008106028,10107.626211851475,hurricane_cat3,9931.245295576173,-201.6561206152037,-2.030522000146653
Ciales,Central Mountains,2030,14839.348241377316,14915.242599802841,15153.919701747773,15465.650684414868,15797.835438078759,16057.291686205903,16368.6580773274,hurricane_cat3,15684.813351991106,-219.16266757623816,-1.397292161901414
Cidra,Central Mountains,2030,35025.10320453656,35324.06721207614,35853.36404834913,36383.65571887008,36985.21913496471,37414.25051061249,37626.39875000587,hurricane_cat3,36871.24925926882,-487.5935403987387,-1.3224220773484254
Coamo,South,2030,28584.93102702003,28978.84148294393,29579.449252264945,30492.0544193791,31157.27617952039,31989.377736837727,32280.372286376678,hurricane_cat3,31124.8626291133,-632.8082097342012,-2.033127719388842
Comerío,Central Mountains,2030,16793.699820557085,16877.72905842883,17036.36129042303,17246.718361061,17384.452215851903,17549.272227355883,17649.993277507707,hurricane_cat3,17456.067134665805,-209.3487736048046,-1.199289461880341
Corozal,Central Mountains,2030,30200.967812395185,30523.516714727335,31082.4217587567,31695.098634842845,32192.311928915522,32774.00993996022,32899.9372883326,hurricane_cat3,32097.265682716767,-402.16704787392155,-1.2529635759300026
Culebra,East,2030,1023.6407115204549,1051.2502561704118,1094.270899768935,1153.4661521952714,1218.815812044502,1269.533068740824,1309.7202606110218,hurricane_cat3,1174.336303768819,-20.870151573547673,-1.7771869528829785
Dorado,North,2030,31924.344721862817,32292.6445016989,32638.24120148129,32970.553457303846,33275.83181004214,33600.73154429276,33746.989464082464,hurricane_cat3,33370.71762534043,-400.1641680365865,-1.199147625559953
Fajardo,East,2030,25845.771255576587,26041.553541895995,26687.69404959659,27608.495266956033,28285.88401091154,28885.864967332378,29347.315396201153,hurricane_cat3,28201.875605754627,-593.3803387985936,-2.1040456567275747
Florida,North,2030,10313.660653262423,10365.24288056051,10486.11111607678,10622.062975565346,10744.601740610173,10854.589911888894,10908.938440632759,hurricane_cat3,10739.186843439846,-117.12386787449941,-1.0906213811341392
