scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_5,Santa Isabel,South,17915.913077707515,18170.72632329518,-254.81324558766573,-1.4023283442500083
earthquake_m6_5,Lares,Central Mountains,25804.510168867142,26041.98297452795,-237.47280566080735,-0.9118844977860674
earthquake_m6_5,Barranquitas,Central Mountains,26889.284941578764,27126.519272996455,-237.23433141769056,-0.8745476300523725
earthquake_m6_5,Vega Alta,North,32407.232406846513,32631.33862559157,-224.10621874505523,-0.6867821799051078
earthquake_m6_5,Aibonito,Central Mountains,22667.629288836008,22884.973699729395,-217.34441089338725,-0.9497254126010084
earthquake_m6_5,Utuado,Central Mountains,25751.22406896655,25967.390024042787,-216.16595507623788,-0.8324516051713065
earthquake_m6_5,Añasco,West,23240.192358286717,23456.200146733834,-216.0077884471175,-0.9208984707490891
earthquake_m6_5,Camuy,North,30308.27180542102,30523.360541797476,-215.08873637645593,-0.7046692518732397
earthquake_m6_5,Morovis,Central Mountains,26412.23309566589,26623.3992954406,-211.1661997747069,-0.7931601724910848
earthquake_m6_5,Naguabo,East,20546.373498146528,20751.620716627942,-205.24721848141417,-0.9890659687942005
earthquake_m6_5,Lajas,West,21466.942380155822,21669.421713009204,-202.4793328533815,-0.9344011830819802
earthquake_m6_5,Loíza,East,20205.99281117628,20405.31737624062,-199.32456506434028,-0.9768265858801501
earthquake_m6_5,Guayanilla,South,15630.813419273843,15821.717686873475,-190.90426759963157,-1.206596346729254
earthquake_m6_5,Arroyo,South,13601.829342415409,13792.16731790864,-190.33797549323026,-1.3800439851544084
earthquake_m6_5,Aguas Buenas,Central Mountains,21916.19824236049,22105.39176892521,-189.19352656471892,-0.8558704977609983
earthquake_m6_5,Patillas,South,13818.496700614272,14000.950310696835,-182.4536100825626,-1.3031516149526408
earthquake_m6_5,Cataño,Metro,20695.026839840604,20869.600394337598,-174.5735544969939,-0.8364968719974135
earthquake_m6_5,Sabana Grande,West,20984.40926079757,21156.30053904927,-171.8912782517,-0.8124826830401253
earthquake_m6_5,Orocovis,Central Mountains,19582.078841457078,19747.98691527864,-165.90807382156345,-0.8401265128102933
earthquake_m6_5,Luquillo,East,15584.697364573234,15744.255607572946,-159.5582429997121,-1.0134378339422092
earthquake_m6_5,Quebradillas,North,21653.181548787506,21809.083504277995,-155.90195549048804,-0.7148487255776101
earthquake_m6_5,Guánica,West,11139.415829885646,11292.231028463433,-152.81519857778767,-1.3532772947400606
earthquake_m6_5,Ciales,Central Mountains,15533.86204501588,15684.813351991106,-150.95130697522654,-0.9624042287762643
earthquake_m6_5,Barceloneta,North,20796.309438557262,20944.37620592169,-148.0667673644275,-0.7069523862093537
earthquake_m6_5,Comerío,Central Mountains,17316.8336101494,17456.067134665805,-139.23352451640676,-0.7976225311364923
earthquake_m6_5,Rincón,West,14128.761412734184,14267.018642937644,-138.2572302034605,-0.9690688269472444
earthquake_m6_5,Hormigueros,West,14293.919957405065,14421.574562170397,-127.6546047653319,-0.885164128334405
earthquake_m6_5,Adjuntas,Central Mountains,16650.895814725038,16775.140544575253,-124.24472985021566,-0.7406479219656609
earthquake_m6_5,Jayuya,Central Mountains,13530.268609497618,13653.611631697586,-123.34302219996789,-0.9033728622661311
earthquake_m6_5,Ceiba,East,9833.39711332726,9931.245295576173,-97.84818224891205,-0.9852559204483458
