region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
East,2030,493128.3812747152,494789.40879238857,497187.74338705576,499877.45507178595,502129.7911412666,504489.411747748,506331.8640960246,earthquake_m7_2,509146.07241677435,-9268.617344988394,-1.8204240093599964
Metro,2030,877356.4069402022,883759.1136404707,890271.3944802843,898615.3360417354,908687.1504673274,916492.0503485482,922238.0064930458,earthquake_m7_2,914050.0061197367,-15434.670078001334,-1.6886023712776452
North,2030,342491.9787634761,343626.30358606286,345959.7206754303,347679.63258786453,349916.27521774505,351673.53667581326,353093.14033661,earthquake_m7_2,352760.8671887701,-5081.234600905562,-1.4404190128567977
South,2030,364612.68939538585,366122.1229646314,368241.1348815826,370851.7805389599,374056.1334712843,376720.9642266963,378076.21035984304,earthquake_m7_2,380131.98752100463,-9280.206982044736,-2.4413117776708932
West,2030,441763.03812579456,443110.65041993035,444680.156176412,447244.89449115284,449628.46109372604,452146.4084737055,453190.0157703172,earthquake_m7_2,455520.22752818116,-8275.333037028322,-1.8166774024357373
Central Mountains,2030,357209.33321643504,358307.0274294424,360157.2044612443,361993.97478215117,363881.2545179664,365305.7931425972,366879.04907349736,earthquake_m7_5,368299.85835839866,-6305.883576247492,-1.7121601958671222
East,2030,493128.3812747151,494789.40879238857,497187.74338705576,499877.45507178595,502129.7911412666,504489.4117477479,506331.8640960246,earthquake_m7_5,509146.07241677435,-9268.617344988394,-1.8204240093599964
Metro,2030,877356.4069402022,883759.1136404707,890271.3944802843,898615.3360417355,908687.1504673274,916492.0503485482,922238.0064930458,earthquake_m7_5,914050.0061197367,-15434.670078001218,-1.6886023712776324
North,2030,342491.9787634761,343626.30358606286,345959.7206754303,347679.63258786453,349916.275217745,351673.53667581326,353093.14033661,earthquake_m7_5,352760.8671887701,-5081.234600905562,-1.4404190128567977
South,2030,364612.6893953858,366122.1229646314,368241.1348815826,370851.7805389599,374056.1334712843,376720.9642266963,378076.21035984304,earthquake_m7_5,380131.98752100463,-9280.206982044736,-2.4413117776708932
West,2030,441763.0381257945,443110.65041993035,444680.156176412,447244.89449115284,449628.46109372604,452146.40847370547,453190.0157703172,earthquake_m7_5,455520.22752818116,-8275.333037028322,-1.8166774024357373
