year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,unemployment_rate_pct,labor_force_participation_pct,median_income_nominal,median_income_real,cpi,total_housing_units,pct_no_vehicle,pct_below_poverty,pct_no_hs_diploma,pct_aged_65_plus,pct_aged_17_under,pct_disability,pct_single_parent,pct_lim_english,pct_multi_unit,pct_mobile_homes,pct_crowding,pct_group_quarters
2013,Aguadilla Municipio,72005,59982.0,0.0,47917.0,151.0,25.9,40.0,15847.0,21903.46,232.95,26312.0,43.8,49.5,32.8,52.4,72.5,22.9,3.4,21.0,7.4,0.1,0.7,2.74
2013,Aguas Buenas Municipio,72007,28378.0,0.0,22354.0,111.0,16.5,35.1,14902.0,20597.29,232.95,10492.0,50.1,53.7,9.0,51.9,70.7,22.7,2.0,8.2,1.8,0.4,0.8,0.76
2013,Aibonito Municipio,72009,25560.0,0.0,20364.0,79.0,10.0,34.9,16189.0,22376.16,232.95,9766.0,44.7,47.5,17.3,52.4,71.9,28.8,4.18,12.7,1.7000000000000002,0.2,0.8,0.18
2013,Arecibo Municipio,72013,95185.0,0.0,76842.0,206.0,15.8,37.9,16977.0,23465.32,232.95,40692.0,43.6,47.4,19.2,52.9,73.2,13.9,2.61,14.7,2.9,0.2,0.6,2.15
2013,Arroyo Municipio,72015,19443.0,0.0,15068.0,96.0,29.4,44.0,16350.0,22598.7,232.95,8232.0,51.7,51.7,27.5,54.2,69.6,24.9,3.11,13.4,1.7,0.4,0.6,0.11
2013,Añasco Municipio,72011,29086.0,0.0,23315.0,124.0,11.9,40.1,16568.0,22900.01,232.95,11826.0,43.3,50.3,25.1,52.3,72.4,14.5,3.3,10.1,2.0999999999999996,0.4,0.8,0.35
2013,Barceloneta Municipio,72017,24884.0,0.0,19381.0,138.0,20.3,35.4,14848.0,20522.66,232.95,9588.0,42.5,54.2,25.9,53.1,70.4,34.9,3.25,21.7,1.6,0.0,0.2,0.18
2013,Barranquitas Municipio,72019,30218.0,0.0,23085.0,115.0,12.5,34.9,15127.0,20908.29,232.95,10613.0,54.6,58.3,11.9,51.5,66.8,19.3,4.49,9.0,1.6,0.0,1.2,0.96
2013,Bayamón Municipio,72021,204725.0,0.0,165417.0,268.0,18.1,51.7,24374.0,33689.33,232.95,82783.0,43.3,35.4,18.7,53.7,73.5,23.8,3.0,16.9,8.9,0.1,0.7,2.82
2013,Cabo Rojo Municipio,72023,50869.0,0.0,40771.0,168.0,12.2,35.1,17228.0,23812.25,232.95,28206.0,38.8,49.3,14.0,53.2,73.3,15.9,2.29,10.5,6.5,4.1,0.5,0.25
2013,Caguas Municipio,72025,141600.0,0.0,112297.0,233.0,15.8,51.5,23924.0,33067.35,232.95,56175.0,39.8,37.3,17.0,54.4,71.9,20.5,3.59,16.9,6.4,0.2,0.6,0.71
2013,Camuy Municipio,72027,34806.0,0.0,27678.0,131.0,19.9,43.9,19527.0,26989.89,232.95,13461.0,41.9,44.7,13.8,52.5,71.4,16.1,1.74,9.9,0.7,0.3,0.5,0.31
2013,Canóvanas Municipio,72029,47730.0,0.0,36961.0,166.0,20.1,52.9,21588.0,29838.57,232.95,17307.0,40.8,42.7,14.3,52.6,69.1,18.5,4.01,13.9,0.8,0.1,1.8,0.21
2013,Carolina Municipio,72031,173994.0,0.0,140106.0,258.0,14.5,54.7,28674.0,39632.72,232.95,75100.0,43.1,30.0,12.8,55.2,73.0,20.0,3.01,19.7,20.200000000000003,0.1,1.0,0.39
2013,Cataño Municipio,72033,27669.0,0.0,21602.0,120.0,28.8,52.9,18977.0,26229.69,232.95,10778.0,38.8,49.0,23.9,53.8,70.5,17.0,3.69,8.1,12.5,0.0,0.4,0.03
2013,Cayey Municipio,72035,47700.0,0.0,38008.0,176.0,15.1,49.7,21223.0,29334.07,232.95,18979.0,42.9,39.0,11.0,52.6,72.0,31.8,4.32,10.4,2.8,0.2,0.5,0.35
2013,Ceiba Municipio,72037,13419.0,0.0,10684.0,70.0,13.4,41.8,19520.0,26980.22,232.95,7482.0,47.7,42.3,17.9,54.2,71.6,13.7,3.01,22.8,4.8,0.1,1.7,0.31
2013,Ciales Municipio,72039,18509.0,0.0,14592.0,76.0,20.6,31.6,13802.0,19076.89,232.95,7143.0,47.9,60.6,29.0,51.2,70.4,12.6,4.46,6.7,2.9000000000000004,0.0,0.7,0.17
2013,Cidra Municipio,72041,43238.0,0.0,33938.0,123.0,13.1,53.4,24224.0,33482.01,232.95,15648.0,38.6,38.9,7.7,51.8,71.1,29.0,5.43,10.4,0.3,0.2,1.0,0.37
2013,Coamo Municipio,72043,40579.0,0.0,31614.0,108.0,13.4,40.7,17645.0,24388.62,232.95,15521.0,42.8,51.3,15.5,52.2,69.4,27.0,5.13,19.0,2.6,0.0,0.8,0.29
2013,Comerío Municipio,72045,20676.0,0.0,16211.0,103.0,11.5,33.1,12615.0,17436.24,232.95,7623.0,56.6,59.3,15.5,50.9,70.8,23.1,2.8,6.3,1.7,0.0,1.7,0.12
2013,Corozal Municipio,72047,36828.0,0.0,28626.0,156.0,15.9,37.0,16219.0,22417.63,232.95,12923.0,49.3,52.9,20.3,52.0,69.8,18.0,3.4,11.2,0.5,0.3,1.4,0.59
2013,Culebra Municipio,72049,1478.0,290.0,1223.0,243.0,6.6,51.7,16188.0,22374.78,232.95,1293.0,43.9,53.6,21.5,42.2,75.7,9.8,1.3,18.6,1.4,2.9,2.6,0.88
2013,Dorado Municipio,72051,38303.0,0.0,29650.0,145.0,16.3,50.6,28306.0,39124.08,232.95,15467.0,35.7,35.8,13.3,53.0,69.9,17.2,3.17,20.0,1.4,0.2,1.8,0.13
2013,Fajardo Municipio,72053,36252.0,0.0,28506.0,114.0,22.1,51.4,21544.0,29777.76,232.95,18163.0,45.7,41.8,12.3,54.2,71.1,21.6,4.4,20.2,11.7,0.4,0.5,0.73
2013,Florida Municipio,72054,12645.0,0.0,9854.0,99.0,16.1,39.8,16750.0,23151.57,232.95,4810.0,42.4,54.8,21.7,53.0,70.4,29.3,1.83,14.1,3.1,0.0,0.3,0.09
2013,Guayama Municipio,72057,44725.0,0.0,34969.0,158.0,20.3,40.7,17260.0,23856.48,232.95,18293.0,44.4,49.6,23.1,51.0,70.9,22.1,4.52,14.3,2.6,0.3,0.8,4.12
2013,Guayanilla Municipio,72059,21218.0,0.0,16578.0,99.0,27.1,37.7,15063.0,20819.83,232.95,8402.0,45.5,53.0,23.8,52.4,70.8,18.4,3.03,8.8,0.30000000000000004,0.5,0.4,0.17
2013,Guaynabo Municipio,72061,96670.0,0.0,79238.0,199.0,14.7,57.4,35074.0,48478.69,232.95,39314.0,40.3,27.1,11.2,53.6,74.9,15.2,2.56,24.1,19.4,0.2,0.8,0.84
2013,Gurabo Municipio,72063,46084.0,0.0,35786.0,161.0,12.6,53.2,27459.0,37953.37,232.95,16487.0,37.7,35.4,15.1,53.1,70.3,19.6,3.14,18.1,2.1,0.1,0.3,0.63
2013,Guánica Municipio,72055,19019.0,0.0,14975.0,95.0,33.1,37.1,13031.0,18011.23,232.95,9130.0,54.6,63.2,16.4,52.7,71.8,26.7,2.27,11.3,1.3,0.2,1.1,0.45
2013,Hatillo Municipio,72065,41932.0,0.0,33313.0,159.0,19.2,46.2,19199.0,26536.54,232.95,16156.0,44.1,46.1,13.9,52.8,72.2,9.3,1.62,9.3,1.9000000000000001,0.2,0.5,0.26
2013,Hormigueros Municipio,72067,17151.0,0.0,14034.0,64.0,18.0,43.6,21107.0,29173.74,232.95,7323.0,43.9,32.8,15.6,54.7,75.8,22.5,2.08,20.8,4.3,0.4,0.1,0.93
2013,Humacao Municipio,72069,57823.0,0.0,46100.0,188.0,15.3,42.7,20156.0,27859.28,232.95,25881.0,40.5,43.0,17.1,53.5,72.4,12.4,2.77,17.7,9.1,0.0,0.8,1.02
2013,Isabela Municipio,72071,45315.0,0.0,36135.0,130.0,17.8,37.5,15495.0,21416.93,232.95,19405.0,41.8,55.3,17.2,52.2,72.4,27.6,3.19,16.0,2.3,0.0,1.0,0.58
2013,Jayuya Municipio,72073,16413.0,0.0,12618.0,85.0,26.2,45.7,19489.0,26937.37,232.95,5892.0,38.5,51.7,13.4,50.8,68.5,28.4,6.44,7.5,2.0,0.5,0.8,0.31
2013,Juana Díaz Municipio,72075,50365.0,0.0,39012.0,142.0,18.7,44.4,17139.0,23689.24,232.95,18570.0,44.0,53.1,13.9,52.9,69.1,21.3,3.35,12.4,1.5,0.2,1.5,1.05
2013,Juncos Municipio,72077,40346.0,0.0,31079.0,162.0,19.9,47.3,18497.0,25566.24,232.95,15262.0,40.1,46.3,21.5,53.2,69.9,18.5,3.2,13.9,2.8,0.0,0.5,0.62
