municipio,region,year,total_population,policy_package,predicted_target,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Comerio,Central Mountains,2024,18711.0,baseline,-1.1059559658577043,-1.1059559658577043,0.0,0.0
Corozal,Central Mountains,2024,34444.0,baseline,-0.9313554506131083,-0.9313554506131083,0.0,0.0
Culebra,East,2024,1387.0,baseline,1.4907431601625067,1.4907431601625067,0.0,0.0
Dorado,North,2024,35810.0,baseline,-0.838082016899833,-0.838082016899833,0.0,0.0
Fajardo,East,2024,31489.0,baseline,-1.5464562393304762,-1.5464562393304762,0.0,0.0
Florida,North,2024,11532.0,baseline,-1.1905429166537786,-1.1905429166537786,0.0,0.0
Guanica,West,2024,12855.0,baseline,-3.4263361198052333,-3.4263361198052333,0.0,0.0
Guayama,South,2024,35298.0,baseline,-2.1499898151602332,-2.1499898151602332,0.0,0.0
Guayanilla,South,2024,17141.0,baseline,-2.1114748521621767,-2.1114748521621767,0.0,0.0
Guaynabo,Metro,2024,89378.0,baseline,-0.9837144022615913,-0.9837144022615913,0.0,0.0
Gurabo,East,2024,40228.0,baseline,-1.1498434221189198,-1.1498434221189198,0.0,0.0
Hatillo,North,2024,38157.0,baseline,-1.0728096985499167,-1.0728096985499167,0.0,0.0
Hormigueros,West,2024,15441.0,baseline,-1.1986229050748753,-1.1986229050748753,0.0,0.0
Humacao,East,2024,50100.0,baseline,-1.3932848942068388,-1.3932848942068388,0.0,0.0
Isabela,West,2024,42890.0,baseline,-0.8327453698977545,-0.8327453698977545,0.0,0.0
Jayuya,Central Mountains,2024,14566.0,baseline,-1.3553110300875235,-1.3553110300875235,0.0,0.0
Juana Diaz,South,2024,46156.0,baseline,-1.0681604756842442,-1.0681604756842442,0.0,0.0
Juncos,East,2024,36829.0,baseline,-0.9798057799972995,-0.9798057799972995,0.0,0.0
Lajas,West,2024,23035.0,baseline,-1.2148160105256196,-1.2148160105256196,0.0,0.0
Lares,Central Mountains,2024,27855.0,baseline,-1.142883395238585,-1.142883395238585,0.0,0.0
Las Marias,West,2024,8744.0,baseline,-1.3315440002665724,-1.3315440002665724,0.0,0.0
Las Piedras,East,2024,34951.0,baseline,-1.0336643229055134,-1.0336643229055134,0.0,0.0
Loiza,East,2024,22768.0,baseline,-2.323109927855284,-2.323109927855284,0.0,0.0
Luquillo,East,2024,17532.0,baseline,-1.2925330035264722,-1.2925330035264722,0.0,0.0
Manati,North,2024,38943.0,baseline,-1.2953335888846096,-1.2953335888846096,0.0,0.0
Maricao,West,2024,4988.0,baseline,-2.685215190317521,-2.685215190317521,0.0,0.0
Maunabo,East,2024,10399.0,baseline,-1.5035608226914126,-1.5035608226914126,0.0,0.0
Mayaguez,West,2024,70828.0,baseline,-1.9765588193128631,-1.9765588193128631,0.0,0.0
Moca,West,2024,37424.0,baseline,-0.8667815545404485,-0.8667815545404485,0.0,0.0
Morovis,Central Mountains,2024,28397.0,baseline,-1.2445870388346936,-1.2445870388346936,0.0,0.0
Naguabo,East,2024,23054.0,baseline,-1.3260455684174184,-1.3260455684174184,0.0,0.0
Naranjito,Central Mountains,2024,29310.0,baseline,-0.6786135072021733,-0.6786135072021733,0.0,0.0
Orocovis,Central Mountains,2024,21309.0,baseline,-1.0278576076846007,-1.0278576076846007,0.0,0.0
Patillas,South,2024,15563.0,baseline,-1.8148278888051819,-1.8148278888051819,0.0,0.0
Penuelas,South,2024,19853.0,baseline,-1.8197647238954164,-1.8197647238954164,0.0,0.0
Ponce,South,2024,132760.0,baseline,-2.054907378593648,-2.054907378593648,0.0,0.0
Quebradillas,North,2024,23409.0,baseline,-1.1203009645218918,-1.1203009645218918,0.0,0.0
Rincon,West,2024,15378.0,baseline,-0.3307740160937047,-0.3307740160937047,0.0,0.0
Rio Grande,East,2024,46051.0,baseline,-1.5805156875625228,-1.5805156875625228,0.0,0.0
Sabana Grande,West,2024,22407.0,baseline,-1.3041434464661499,-1.3041434464661499,0.0,0.0
Salinas,South,2024,25079.0,baseline,-1.815781695718441,-1.815781695718441,0.0,0.0
San German,West,2024,31305.0,baseline,-1.3963823830731406,-1.3963823830731406,0.0,0.0
San Juan,Metro,2024,336160.0,baseline,-1.4888506248455833,-1.4888506248455833,0.0,0.0
San Lorenzo,East,2024,37431.0,baseline,-1.0384560936100977,-1.0384560936100977,0.0,0.0
San Sebastian,West,2024,39088.0,baseline,-1.0236473525625656,-1.0236473525625656,0.0,0.0
Santa Isabel,South,2024,19903.0,baseline,-1.470723623470502,-1.470723623470502,0.0,0.0
Toa Alta,Metro,2024,66320.0,baseline,-1.09876358006459,-1.09876358006459,0.0,0.0
Toa Baja,Metro,2024,73039.0,baseline,-1.8860764228402098,-1.8860764228402098,0.0,0.0
Trujillo Alto,Metro,2024,67088.0,baseline,-1.1467507200370048,-1.1467507200370048,0.0,0.0
Utuado,Central Mountains,2024,27621.0,baseline,-1.6748839010144003,-1.6748839010144003,0.0,0.0
Vega Alta,North,2024,34921.0,baseline,-1.2832096920172082,-1.2832096920172082,0.0,0.0
Vega Baja,North,2024,53892.0,baseline,-1.1420855070381195,-1.1420855070381195,0.0,0.0
Vieques,East,2024,8078.0,baseline,-1.4598258951146998,-1.4598258951146998,0.0,0.0
Villalba,South,2024,21556.0,baseline,-1.7163131356215915,-1.7163131356215915,0.0,0.0
Yabucoa,East,2024,29400.0,baseline,-2.096246676660821,-2.096246676660821,0.0,0.0
Yauco,South,2024,32993.0,baseline,-2.09862845501653,-2.09862845501653,0.0,0.0
Adjuntas,Central Mountains,2024,17960.0,jobs_push,-0.6077951637353951,-0.9024586516057509,0.2946634878703558,52.9215624215159
Aguada,West,2024,37758.0,jobs_push,-0.8444909999854324,-1.1391544878557884,0.294663487870356,111.25903975008902
Aguadilla,West,2024,54137.0,jobs_push,-1.0814008299237197,-1.3760643177940752,0.29466348787035557,159.5219724283744
Aguas Buenas,Central Mountains,2024,23614.0,jobs_push,-1.4399585420015952,-1.7346220298719508,0.29466348787035557,69.58183602570577
Aibonito,Central Mountains,2024,24636.0,jobs_push,-0.47096032736341464,-0.7656238152337702,0.29466348787035557,72.5932968717408
Anasco,West,2024,25094.0,jobs_push,-1.1825792731146063,-1.477242760984962,0.2946634878703558,73.94285564618708
Arecibo,North,2024,86467.0,jobs_push,-0.9793209349818535,-1.273984422852209,0.29466348787035557,254.78667805686035
Arroyo,South,2024,15341.0,jobs_push,-1.7348807908832828,-2.0295442787536384,0.29466348787035557,45.204325674191246
Barceloneta,North,2024,22494.0,jobs_push,-0.7336758745950602,-1.0283393624654158,0.29466348787035557,66.28160496155778
Barranquitas,Central Mountains,2024,29054.0,jobs_push,-0.385265021724718,-0.6799285095950736,0.29466348787035557,85.6115297658531
Bayamon,Metro,2024,182469.0,jobs_push,-1.0412069369083696,-1.3358704247787252,0.29466348787035557,537.6695196821591
