year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe
2013,Arecibo Municipio,72013,95185.0,0.0,76842.0,206.0,40692.0,387.0,15.8,1.4,37.9,1.3,16977.0,23465.32,639.0,232.95,64484.0,30.7,18030.0,809.5677859203638,29919.0,9940.0,549.0,206.0,1022.0,92.6,0.8
2013,Arroyo Municipio,72015,19443.0,0.0,15068.0,96.0,8232.0,163.0,29.4,3.9,44.0,3.4,16350.0,22598.7,1414.0,232.95,12480.0,32.0,3439.0,435.0459745819975,5633.0,1612.0,44.0,36.0,82.0,95.7,1.3
2013,Añasco Municipio,72011,29086.0,0.0,23315.0,124.0,11826.0,187.0,11.9,2.6,40.1,2.0,16568.0,22900.01,823.0,232.95,19579.0,36.5,6760.0,537.4095272694744,9236.0,2223.0,162.0,123.0,236.0,96.0,1.2
2013,Barceloneta Municipio,72017,24884.0,0.0,19381.0,138.0,9588.0,213.0,20.3,3.6,35.4,2.7,14848.0,20522.66,1202.0,232.95,16316.0,34.5,5270.0,479.2963592601137,7596.0,2146.0,63.0,51.0,275.0,94.3,1.8
2013,Barranquitas Municipio,72019,30218.0,0.0,23085.0,115.0,10613.0,172.0,12.5,2.7,34.9,2.3,15127.0,20908.29,1162.0,232.95,18449.0,32.4,4830.0,465.207480593337,8836.0,2862.0,0.0,27.0,232.0,97.3,0.7
2013,Bayamón Municipio,72021,204725.0,0.0,165417.0,268.0,82783.0,398.0,18.1,0.9,51.7,0.8,24374.0,33689.33,637.0,232.95,139037.0,26.2,31435.0,1088.329453796046,63256.0,26887.0,729.0,121.0,3193.0,92.2,0.5
2013,Cabo Rojo Municipio,72023,50869.0,0.0,40771.0,168.0,28206.0,310.0,12.2,2.6,35.1,2.1,17228.0,23812.25,1067.0,232.95,34798.0,29.5,8609.0,715.6710138045273,16169.0,5731.0,605.0,233.0,533.0,93.2,1.2
2013,Caguas Municipio,72025,141600.0,0.0,112297.0,233.0,56175.0,420.0,15.8,1.2,51.5,0.9,23924.0,33067.35,845.0,232.95,94440.0,27.4,23858.0,1049.4417563638299,42477.0,18695.0,1069.0,291.0,2441.0,91.7,0.7
2013,Camuy Municipio,72027,34806.0,0.0,27678.0,131.0,13461.0,195.0,19.9,3.0,43.9,1.9,19527.0,26989.89,1371.0,232.95,23099.0,24.6,5100.0,466.30891048745787,10877.0,3532.0,58.0,46.0,266.0,93.7,1.5
2013,Canóvanas Municipio,72029,47730.0,0.0,36961.0,166.0,17307.0,245.0,20.1,2.2,52.9,1.4,21588.0,29838.57,1568.0,232.95,30470.0,31.8,9223.0,667.8630099054745,14247.0,4932.0,253.0,112.0,405.0,89.8,1.3
2013,Carolina Municipio,72031,173994.0,0.0,140106.0,258.0,75100.0,445.0,14.5,1.0,54.7,0.7,28674.0,39632.72,848.0,232.95,117814.0,27.9,29534.0,1066.1041224946089,52053.0,24207.0,1186.0,246.0,1991.0,89.8,0.6
2013,Cataño Municipio,72033,27669.0,0.0,21602.0,120.0,10778.0,152.0,28.8,3.3,52.9,1.7,18977.0,26229.69,1865.0,232.95,17730.0,30.5,4979.0,414.493667020378,8062.0,2730.0,37.0,34.0,340.0,91.0,1.3
2013,Cayey Municipio,72035,47700.0,0.0,38008.0,176.0,18979.0,243.0,15.1,1.9,49.7,1.6,21223.0,29334.07,1215.0,232.95,31729.0,35.8,10316.0,609.8016070821723,14946.0,5230.0,76.0,50.0,481.0,91.7,0.9
2013,Ceiba Municipio,72037,13419.0,0.0,10684.0,70.0,7482.0,154.0,13.4,3.6,41.8,2.5,19520.0,26980.22,2474.0,232.95,8903.0,35.6,2685.0,333.2641594891356,4039.0,1145.0,23.0,36.0,89.0,92.9,2.1
2013,Ciales Municipio,72039,18509.0,0.0,14592.0,76.0,7143.0,104.0,20.6,4.6,31.6,2.2,13802.0,19076.89,1226.0,232.95,11954.0,30.7,3645.0,381.5363678602605,5812.0,1063.0,16.0,26.0,106.0,94.6,1.2
2013,Cidra Municipio,72041,43238.0,0.0,33938.0,123.0,15648.0,171.0,13.1,1.9,53.4,1.6,24224.0,33482.01,1542.0,232.95,28210.0,35.0,9249.0,592.4229907760164,13429.0,4570.0,130.0,76.0,340.0,93.1,1.0
2013,Coamo Municipio,72043,40579.0,0.0,31614.0,108.0,15521.0,207.0,13.4,2.1,40.7,1.7,17645.0,24388.62,947.0,232.95,26150.0,34.4,7887.0,518.8699258966548,12331.0,3597.0,135.0,81.0,263.0,94.4,1.0
2013,Comerío Municipio,72045,20676.0,0.0,16211.0,103.0,7623.0,104.0,11.5,3.2,33.1,3.0,12615.0,17436.24,1434.0,232.95,13304.0,32.3,3764.0,476.0042016621282,6447.0,1345.0,16.0,26.0,88.0,94.1,1.5
2013,Corozal Municipio,72047,36828.0,0.0,28626.0,156.0,12923.0,181.0,15.9,3.1,37.0,2.3,16219.0,22417.63,1366.0,232.95,23568.0,33.2,6338.0,585.7132404171857,11200.0,3061.0,93.0,68.0,282.0,95.1,1.3
2013,Culebra Municipio,72049,1478.0,290.0,1223.0,243.0,1293.0,88.0,6.6,7.1,51.7,7.9,16188.0,22374.78,3327.0,232.95,1051.0,31.8,333.0,97.14422267947796,629.0,48.0,0.0,13.0,32.0,87.8,6.9
